"","comid","n_ff_2006cat","n_uf_2006cat","n_ags_2006cat","n_cf_2006cat","n_cr_2006cat","n_lwr_2006cat","n_lw_2006cat","n_hw_2006cat","n_dep_2006cat","n_ff_2007cat","n_uf_2007cat","n_ags_2007cat","n_cf_2007cat","n_cr_2007cat","n_lwr_2007cat","n_lw_2007cat","n_hw_2007cat","n_dep_2007cat","n_ff_2008cat","n_uf_2008cat","n_ags_2008cat","n_cf_2008cat","n_cr_2008cat","n_lwr_2008cat","n_lw_2008cat","n_hw_2008cat","n_dep_2008cat","n_leg_2008cat","n_ff_2009cat","n_uf_2009cat","n_ags_2009cat","n_cf_2009cat","n_cr_2009cat","n_lwr_2009cat","n_lw_2009cat","n_hw_2009cat","n_dep_2009cat","n_leg_2009cat","n_ff_2010cat","n_uf_2010cat","n_ags_2010cat","n_cf_2010cat","n_cr_2010cat","n_lwr_2010cat","n_lw_2010cat","n_hw_2010cat","n_dep_2010cat","n_leg_2010cat","n_ff_2011cat","n_uf_2011cat","n_ags_2011cat","n_cf_2011cat","n_cr_2011cat","n_lwr_2011cat","n_lw_2011cat","n_hw_2011cat","n_dep_2011cat","n_leg_2011cat","n_ff_2012cat","n_uf_2012cat","n_ags_2012cat","n_cf_2012cat","n_cr_2012cat","n_lwr_2012cat","n_lw_2012cat","n_hw_2012cat","n_dep_2012cat","n_leg_2012cat","n_ff_2013cat","n_uf_2013cat","n_ags_2013cat","n_cf_2013cat","n_cr_2013cat","n_lwr_2013cat","n_lw_2013cat","n_hw_2013cat","n_dep_2013cat","n_leg_2013cat","n_ff_2014cat","n_uf_2014cat","n_ags_2014cat","n_cf_2014cat","n_cr_2014cat","n_lwr_2014cat","n_lw_2014cat","n_hw_2014cat","n_dep_2014cat","n_leg_2014cat","n_ff_2015cat","n_uf_2015cat","n_ags_2015cat","n_cf_2015cat","n_cr_2015cat","n_lwr_2015cat","n_lw_2015cat","n_hw_2015cat","n_dep_2015cat","n_leg_2015cat","n_ff_2016cat","n_uf_2016cat","n_ags_2016cat","n_cf_2016cat","n_cr_2016cat","n_lwr_2016cat","n_lw_2016cat","n_hw_2016cat","n_dep_2016cat","n_leg_2016cat","n_ff_2017cat","n_uf_2017cat","n_ags_2017cat","n_cf_2017cat","n_cr_2017cat","n_lwr_2017cat","n_lw_2017cat","n_hw_2017cat","n_dep_2017cat","n_leg_2017cat"
"1",23762867,134840.03449777,2718.13649794708,141640.324962044,2995.92917210849,13789.093511543,2741.71358097505,17593.4548037082,23238.0946852366,10533.2176053,164743.000998665,3459.38307000677,172707.296577024,3099.33494222072,12825.9405254139,2769.24287119458,17690.9011615529,23696.1890862983,9508.21957521,154258.282883875,4226.28266554337,162804.468183649,2801.80819976204,13529.7898121437,2943.51307100578,19274.1669121558,23816.890661938,9301.43932128,3014670.77490527,108156.440307472,4400.11829101043,117289.358089636,2511.09693967599,14258.5209537434,3121.39869182342,20880.3417962309,24102.2012929578,9197.29389942,3131960.1329949,134303.653701266,2325.92005716729,144019.984706083,2219.8738433533,14980.5624487536,3298.16186503254,22477.0196102174,24124.3294979841,9580.41931464,3275980.11770099,141409.855946276,3470.38527158726,151723.051697951,1932.10961979056,15723.8656271813,3479.86516717475,24104.9517590654,24284.62568437,9099.75389427,3427703.16939894,133667.386529036,2461.82652684924,144579.532536239,1644.71313821361,16473.5638483422,3662.59919938117,25740.9967173312,24388.6572974382,9282.41000001,3572282.70193518,131476.052197572,2404.05833278061,141227.621213354,1683.69357506152,15839.0587257193,3514.68605451722,23906.9341664396,24209.1037718009,8648.502985233,3713510.32314853,129379.567230749,2346.63821653388,137979.991531019,1723.72769380732,15217.2541703338,3369.65638099574,22093.950776796,24462.0434904317,10636.54901775,3851490.31467955,127423.885936684,2290.79927115284,134882.768288941,1765.66256654743,14612.7199145736,3227.93817362631,20305.9397002832,24750.9091265306,10218.8860137,3986373.08296849,125329.220610807,2230.67525118798,131637.963330147,1805.73628429812,13991.5187769586,3081.97708114749,18494.5252120004,25122.6588500784,10077.85334772,4118011.04629864,123359.691887385,2170.58948399142,128526.690057497,1847.38215343264,13385.6535978833,2940.78625140928,16705.2696145621,25565.5679076476,10563.97883499,4246537.73635613
"2",23762869,20867.0188769482,755.00288043767,22629.4794215589,398.171827238123,1844.30984940006,502.727628666343,3208.59856677265,6717.99411193096,2346.231762027,24754.8024040319,971.783447958304,26626.6677682054,391.921360220269,1705.50439326207,504.44644786576,3185.44839721538,6950.13563454849,2074.865196789,23494.3410184814,1184.9094368546,25326.4159712028,365.914768041787,1832.57997859449,527.962528253489,3298.74016327414,6972.47011528142,2038.65060024,506766.121514276,16478.7709920998,1229.41204205093,18255.9982484189,334.938444206108,1934.66920847521,546.188475596178,3376.95802058819,7032.34816187842,2040.954205374,525022.119762695,20660.5664464766,648.144376427829,22393.786278175,307.480762322183,2054.1938285618,568.200879050316,3479.93289793803,7021.49086335078,2136.279073689,547415.90604087,21853.6931823922,967.764407531487,23536.0843110902,278.768758198178,2164.3191990085,587.925105337681,3567.94156950831,7067.03881774468,2020.939704648,570951.99035196,20926.3876529585,685.232215625156,22570.6457781884,252.310193750062,2291.56366007347,612.383640085425,3683.51159155332,7083.6526619968,2060.347692087,593522.636130149,20546.7930420967,671.62142588114,22056.9653250701,255.103164600577,2283.76279113303,612.009095348733,3538.83190950589,7064.9884116693,1924.759919502,615579.601455219,20108.9338382888,653.052755630442,21481.2381014725,257.263810670009,2272.55289372861,609.151547325258,3387.59334624231,7104.32736979409,2375.157172338,637060.839556691,19671.5280279979,637.880187458846,20906.3952734782,259.35502264124,2260.42711617709,606.651586327226,3235.93933901612,7191.64793773018,2285.718174765,657967.234830169,19194.7226303951,621.471036903811,20289.9247775992,260.934182198911,2243.38005232159,602.444116092047,3077.64801732679,7309.73192490862,2265.872320836,678257.159607769,18558.0354852011,605.556484504259,19504.8195011714,260.348895147255,2205.10351693252,591.82570868629,2891.53863775561,7455.3620551608,2387.83954122,697761.97910894
"3",23763015,21027.9535474382,57.9748761018727,21556.2533684502,516.267321131168,2367.42319328383,368.777385789466,2379.45569316466,493.444119742836,732.0633043095,25936.2689301227,74.2531086725214,26687.6933750699,542.861231516663,2184.28490180132,370.238313217955,2392.8481152319,506.144969747018,610.3072799064,24253.8471980075,90.0905528264247,25200.20189148,486.081051415551,2298.12339665567,403.139979267631,2758.39703871264,505.214514946263,600.3674622774,450964.063771146,16862.222057504,93.3904138546576,17998.3629350798,427.041684125541,2400.34764430578,433.972692402788,3109.44683775602,509.026713433443,611.6747563008,468962.426706225,20780.6246957793,49.4654389721627,22106.4616753006,368.798847113965,2504.28433445223,465.036341032127,3461.32246685954,510.478811757835,632.075433147,491068.888381526,21796.5694367474,73.5367212378067,23319.8401733113,312.666108797769,2622.73939270934,498.800471900929,3833.3440204755,512.047096469276,603.8558633277,514388.728554837,20352.1573776286,52.2776089471654,22061.1492381031,254.262250285877,2721.33263930259,528.771761740096,4176.06224949127,515.32126802931,629.6724030375,536449.87779294,19933.5682920931,50.8830711139081,21422.069093603,261.108018891922,2540.80190322671,487.215243755059,3768.19468584469,509.735556954059,565.908281064,557871.946886543,19662.7185236527,48.9195691038276,20943.7505326831,269.759352711804,2380.44000725193,449.599202738794,3391.71266357052,507.338230575292,735.7242051315,578815.697419227,19521.1309026409,47.2924107720037,20602.4935992872,280.224600096275,2235.30904426389,414.835851360222,3036.44714081395,508.343519990265,703.774658961,599418.191018514,19199.6771877972,46.5306877345926,20071.2834191999,288.115931560381,2069.49908426838,376.229781713088,2652.98938411069,521.296311599467,690.8443781589,619489.474437714,18799.4322413303,45.7775944302538,19460.2051699866,294.662017864731,1896.87652892209,336.493600289526,2262.98743971362,536.352878681706,748.6805521134,638949.6796077
"4",23763061,118335.799510702,84.0965492323974,122184.634475967,2824.58245900329,12965.5942926905,2172.05373456273,13989.8467989525,716.72343792338,4740.579084429,145644.95122452,109.573286831434,150679.933408544,2959.31059944826,11998.0113231039,2185.75043638756,14073.6829076789,747.962737682502,3869.936352765,136310.604862041,140.184653740804,142275.645915142,2657.74930658293,12637.9083825963,2362.77009454002,15945.2001291142,787.194122255179,4023.262287234,2558319.6418911,95361.2191270829,147.621283491709,102259.996258345,2356.55477017907,13282.8360062833,2540.93783531263,17825.058367366,805.68129223057,3903.698445561,2660579.63814944,118194.31471758,78.3186247360805,126029.906640825,2055.61104253726,13934.4468794676,2720.13063735126,19714.4277601759,809.315434628132,4066.32861585,2786609.54479027,124021.91914611,118.241591600326,132800.195559202,1754.24220846695,14590.6693141386,2900.94473080366,21614.7035187642,824.394078372589,3825.790596,2919409.74034947,116773.134183631,84.5016691543873,126498.506394258,1452.38361996042,15254.3769833059,3082.66411035632,23527.3655739723,834.025855860559,3985.333161633,3045908.24674373,115436.920194279,82.8681055948571,124039.909313415,1502.18053956641,14477.1737375116,2899.07963695508,21577.9823170817,831.238906057925,3566.769553737,3169948.15605714,114086.822211957,81.8621145637202,121563.752705073,1551.98352808851,13696.8700090756,2714.64259188148,19621.8169741032,850.049457796098,4566.367333773,3291511.90876221,112699.608382074,80.4060949848476,119046.254093715,1601.3443717062,12910.5520579527,2529.68326569947,17655.8533978873,864.997499238715,4199.111688537,3410558.16285593,111281.107136051,78.140570109803,116493.777130317,1650.43569530663,12120.1372992962,2343.26369109005,15682.3715982559,876.171003656751,4248.488945997,3527051.93998625,109847.178794343,76.6005606639521,113924.709510816,1699.29283546982,11328.2305144939,2157.10830063359,13706.4683954971,898.614920495153,4381.667208927,3640976.64949706
"5",23763073,96398.8444272836,271.032545776255,98820.7392703461,2366.73402670118,10853.0228387685,1690.59313170064,10908.1836551298,2306.85125979776,3693.572284455,118580.394535226,347.889564706443,122015.900520506,2481.95679897356,9986.53145256824,1692.72632743456,10940.0806388743,2371.38291381473,2810.585653227,111191.78371731,422.647037951128,115530.347638217,2228.43900585474,10535.7487243351,1848.1955879647,12645.8736393871,2370.1421688837,3094.098130341,2058442.07573463,77766.7853392112,439.857319574715,83006.5469459693,1969.47109740541,11070.1495542895,2001.43617478625,14340.4400636422,2397.45297746739,3049.730735562,2141448.6226806,96185.13139401,232.15374732334,102321.896094264,1707.02113564569,11591.3222669467,2152.46568474189,16021.0658315553,2395.80546622542,3202.565446062,2243770.51877487,100763.362776334,346.028620793851,107805.291199079,1445.42418200631,12124.6621704516,2305.90474565341,17721.1664111902,2409.44860731248,3042.311006853,2351575.80997394,94792.4836720269,245.130983416892,102752.307292875,1184.25529841521,12674.9157345255,2462.81451449828,19450.4840569582,2416.35399460085,3157.573231998,2454328.11726682,93776.5439490371,239.52274938986,100779.126667072,1228.37051802597,11953.0842572852,2292.08143013513,17727.2964572937,2399.48689005203,2792.305032579,2555107.24393389,92812.2905042454,233.122884865154,98859.0390667264,1273.32257642846,11236.1924530033,2122.205623036,16009.6184390558,2417.68588891436,3723.599842218,2653966.28300062,91657.1930516358,229.999736860118,96734.4946659568,1315.73321222732,10495.4038586179,1947.77084906078,14256.9722607116,2472.25451026322,3425.458309704,2750700.77766657,90575.9737192059,224.945901440852,94687.8440562344,1359.20936533682,9763.02324435693,1774.89332177345,12515.6842160486,2520.13186221092,3495.312745587,2845388.62172281,89522.3305500284,220.009893231462,92668.9113498266,1403.17166099471,9032.86894278769,1602.37239754835,10776.2780815911,2577.74444117935,3610.583197218,2938057.53307264
"6",23763075,26628.0392928795,312.701987974476,27297.0339413883,653.757698375035,2997.90646157843,466.988796459635,3013.14341171223,2661.51422086292,1190.960338509,32723.9664444393,398.7666947228,33672.0437638191,684.931698233059,2755.92707741497,467.132191250488,3019.07269856174,2718.1859486414,887.058545265,30519.0704234122,487.712437214657,31709.8862680007,611.6448956954,2891.77173467092,507.278590374419,3470.94268356398,2735.01931856711,1024.205966217,575037.421117797,21237.4858424687,510.764856019918,22668.4227451071,537.846773090274,3023.16912558159,546.576179550472,3916.25925512972,2783.93622285204,1000.962567486,597705.843862904,25996.4787030865,271.604710920771,27655.0954822486,461.365888421454,3132.84972517131,581.758609896765,4330.10061591194,2802.93580689118,1056.910650489,625360.939345153,27192.7139480554,404.67753957247,29093.0985716555,390.072395679622,3272.04711150564,622.287768215925,4782.35933942611,2817.82972719595,1004.334377742,654454.037916808,25480.973528892,288.801912842268,27620.6374254434,318.337243011525,3407.11815748837,662.024129124287,5228.44481102825,2846.83578557655,1036.088284419,682074.675342252,25116.4753873831,283.580042671415,26991.9997891057,328.998452953789,3201.43325728206,613.895590534376,4747.95920605082,2840.84328692689,915.321786228,709066.675131357,24809.0979206377,278.116809534724,26425.4180908764,340.364237446842,3003.47935933051,567.274084322052,4279.43529212237,2884.31179234472,1220.737647798,735492.093222234,24495.7292045723,273.17976408673,25852.6571367236,351.634644255641,2804.93611307182,520.549077302354,3810.22940096744,2936.3942459065,1126.696346523,761344.750358957,24118.8895535816,266.909159704565,25213.8128808747,361.935060884708,2599.73224322914,472.624850050784,3332.72050963747,2990.25798371474,1152.790782012,786558.563239832,23797.1837218116,262.180768100545,24633.6204066953,372.996699312583,2401.15332616859,425.949035295816,2864.59331173962,3071.83921426795,1190.223986796,811192.183646527
"7",23763311,1997.37994932292,0,2111.62232011699,43.1331576109113,198.747326184755,42.1052070444947,269.856539367914,0,114.5047216419,2472.80531801458,0,2604.27480263213,45.2178225263565,188.601374006625,43.1267538425287,274.853036097821,0,86.88906253341,2316.85986603608,0,2454.68856424419,40.9955650789062,199.136649342271,45.6317284715344,295.969782471473,0,95.9853592872,45060.8994688981,1616.25584477127,0,1759.865468266,36.644175528826,208.67978633495,47.950424250587,315.645234300847,0,94.6185124401,46820.7649371641,1969.71928916644,0,2117.00732992032,31.8744155720354,214.683280750641,49.5921768727818,330.096905932484,0,99.7881018444,48937.7722670844,2079.46420564306,0,2232.89294417214,28.0158092437364,225.911547556699,52.1746765920027,351.324476842037,0,94.9722538806,51170.6652112566,2025.81218090225,0,2190.05625718561,24.8348434142807,244.571336957478,56.1999914255387,383.980569826556,0,97.8752706246,53360.7214684422,1969.10300725675,0,2114.8968526609,25.0684571563962,233.684730891337,53.7971363417131,354.410119139089,0,87.01999317171,55475.6183211031,1983.82219628199,0,2116.29405437736,26.2513718498245,231.773502311,53.1052606836683,337.993988556548,0,116.0455461363,57591.9123754804,1970.45388380753,0,2087.14480899981,27.0898979832661,226.041113386513,51.6681299060057,315.642140595524,0,106.691111784,59679.0571844802,1922.41524883527,0,2021.37911560428,27.432263302529,216.324955259444,49.4931775317369,287.85655872592,0,108.5059637118,61700.4363000845,1899.56103893767,0,1982.00445407785,28.1485480391074,209.371201300393,47.8223294446806,263.666068401468,0,112.0118953797,63682.4407541624
"8",23763313,195015.704489991,2116.56954002104,230872.323079212,9473.86516466069,39287.7722768109,10523.1875703555,65670.5257013712,20209.8738948214,12941.57534391,236044.444947401,2613.81151837498,272598.127664679,9963.92205656606,39723.8639998551,11006.9858067292,66313.6246605671,20537.4662751303,9577.1528397,230233.495543982,3219.9965259904,265349.055727648,9184.34245987229,40815.3879364507,10724.5387922261,66746.6056602442,20789.9760003742,10704.5077617,5001489.77082955,168090.939191436,3343.00675000968,201765.874707855,8403.34378651304,41907.469942138,10441.4489907347,67179.0616720437,21019.3082560227,10571.45398587,5203255.64553741,217579.304179878,1781.04556019859,249783.370065931,7614.17375212579,42963.193758672,10148.8967502739,67553.0858925998,21216.9331865401,11115.53980389,5453039.01560334,239182.689731829,2662.65073877559,269979.085391151,6838.24978342471,44097.925113112,9875.74594126456,68056.0709890093,21358.9700304281,10634.01087933,5723018.10099449,235997.588667874,1896.89059562699,265324.300112354,6047.14781453141,45148.5699748924,9582.65896872334,68428.1336048415,21554.8820221008,10859.96623014,5988342.40110684,225016.997749498,1859.48338063748,256321.893374946,7053.96661571756,43900.4085350225,9390.10348424861,68151.3375447531,21606.490467019,10130.40926811,6244664.29448179,213968.701447939,1823.30186021518,247233.148935271,8056.34216598494,42632.5308788219,9193.03691404558,67840.6362001693,21819.3820692891,12992.55081867,6491897.44341706,202742.444162773,1790.97591444401,237927.261796796,9048.66632132129,41325.308639015,8987.24907273834,67461.4599517161,22163.0149790415,12007.99153359,6729824.70521386,191868.759403342,1751.13693667487,229042.123536111,10058.3542332319,40097.7448603022,8799.06784555451,67212.7547598394,22597.8509468507,11916.73933821,6958866.82874997,180869.980328554,1711.63690316977,220006.774103825,11061.5685028304,38842.9218911411,8604.87580217754,66918.1471635813,23010.9876418259,12423.64306626,7178873.60285379
"9",23763353,15251.5659992007,7.68455621579785,18556.9733732626,718.488977424768,2962.61248580063,889.957623536896,5549.53088243777,74.2056779038788,1195.583394915,18398.6191618661,9.87643287941758,21739.4757678173,754.129421505106,3046.56973537901,936.428808986551,5633.29691982515,78.4254246155211,986.657626134,17931.616109327,12.0919382042358,21053.5131054568,697.457364172801,3118.41969832857,903.792913003261,5542.85933028565,78.8848387787617,1035.110018574,403420.785049352,13210.1854829665,14.445113664042,16134.0908200665,643.990656599909,3204.54177253543,876.599902580777,5484.45645303549,91.757178939268,997.764020658,419554.875869418,17280.4375782785,7.85860892676429,20011.6214161222,592.304666755794,3299.70938951897,851.460894243712,5438.58856060686,94.564910591166,1046.895470892,439566.497285541,19263.9606821853,12.0330809792027,21810.3253509676,541.978400644785,3406.29207850608,829.502054892961,5410.6783466436,97.482934813271,981.465925113,461376.822636508,19075.0943228196,8.29095432835049,21414.0832648594,487.84084786366,3488.36913745693,800.001036539062,5339.51723163306,95.1509824074285,1009.254332295,482790.905901368,18223.0758874644,8.53095009020849,20763.5894770836,570.338085256373,3456.6150650016,800.977560429907,5426.79056936441,100.140989887242,927.662764599,503554.495378451,17434.9798245544,8.53924140199995,20179.2723225029,653.16650581293,3427.82803249012,803.877699237733,5518.95402462574,103.195014492533,1134.508712634,523733.767700954,16575.0750988576,8.34887327704,19520.1057691793,735.968600605247,3394.20669904934,804.959560262126,5603.26876876575,104.318311988256,1045.174651254,543253.873470134,15647.2740746273,8.74296903158992,18784.8991559508,817.036080706867,3350.20406582406,803.371006663913,5670.79306644067,113.915115322638,1032.086861883,562038.772626084,14671.5069260069,8.91697280328144,17990.3021127158,895.093617662919,3295.56563275677,799.260296536642,5719.26720180279,121.004991827198,1059.820156332,580029.0747388
